Tom,CLARKE,England
Julius,REINHARDT,Germany
João,MOUTINHO,Portugal
Steven,BENDA,Germany
Ažbe,JUG,Slovenia
Isaac,LIHADJI,France
Raúl,FERNÁNDEZ,Spain
Nicolás,DELGADILLO,Argentina
Jerry,YATES,England
Dean,MOXEY,England
Matt,BLOOMFIELD,England
Jaime,SOTO,Chile
Bas,DOST,Netherlands
Alberto,PEREA,Spain
Virgil,VAN DIJK,Netherlands
Abdallah,ABERKANE,Netherlands
Modibo,SAGNAN,France
Callum,MAYCOCK,England
Gary,DICKER,Ireland
Martin,HARNIK,Austria
Paul,CLEARY,Ireland
Alexis,ALÉGUÉ,Cameroon
Eden,HAZARD,Belgium
Joshua,HARROP,England
Valentin,MIHĂILĂ,Romania
Joaquín,PEREYRA,Argentina
Roberto,FIRMINO,Brazil
,DENIS,Brazil
Brayan,ANGULO,Colombia
Andrei,DUMITER,Romania
Joris,GNAGNON,France
Peter,THERKILDSEN,Denmark
Jakub,ARAK,Poland
Cristian,BUONAIUTO,Italy
André,ANDERSON,Brazil
Tom,SCHÜTZ,Germany
Nicolas,ISIMAT-MIRIN,France
David,NUGENT,England
Marcelo,JORQUERA,Chile
István,FÜLÖP,Romania
Lucas,ALARIO,Argentina
Raffael,KORTE,Germany
Michele,CASTAGNETTI,Italy
Stefan,LAINER,Austria
Antoine,BERNEDE,France
Jhon,CHANCELLOR,Venezuela
Liam,KELLY,Ireland
Gianni,BRUNO,Belgium
Tommy,HØILAND,Norway
Alexis,CASTRO,Argentina
Edwin,HERNÁNDEZ,Mexico
Ryan,SWAN,Ireland
Thiago,ALMADA,Argentina
Andrea,BIANCHIMANO,Italy
Pablo,CEPPELINI,Uruguay
Benjamín,GARRÉ,Argentina
Andrés,PEREA,Colombia
Danny,WELBECK,England
,VITOLO,Spain
Davide,BIRASCHI,Italy
Barry,FULLER,England
Javi,JAVI MUÑOZ,Spain
Aaron,GREENE,Ireland
Mark,HALSTEAD,England
James,HILL,England
John,BARNES,England
Nicolas,SENZEMBA,France
Adam,DŹWIGAŁA,Poland
Erwin,HOFFER,Austria
João,TEIXEIRA,Portugal
Eddie,CLARKE,England
Nikola,JAMBOR,Croatia
Olivier,NTCHAM,France
,ZUBELDIA,Spain
,ÉDER,Brazil
Gregory,KARLEN,Switzerland
,ADRYAN,Brazil
