Nicol·s;DELGADILLO;Argentina;;;
JoaquÌn;PEREYRA;Argentina;;;
Lucas;ALARIO;Argentina;;;
Alexis;CASTRO;Argentina;;;
Thiago;ALMADA;Argentina;;;
BenjamÌn;GARR…;Argentina;;;
Rubens;SAMBUEZA;Argentina;;;
Axel;WERNER;Argentina;;;
Marcos;ACU?A;Argentina;;;
Erik;LAMELA;Argentina;;;
Diego;MARADONA;Argentina;;;
Nereo;CHAMPAGNE;Argentina;;;
Esteban;ROL”N;Argentina;;;
Federico;FERN¡NDEZ;Argentina;;;
Juan;MUSSO;Argentina;;;
Cristian;¡LVAREZ;Argentina;;;
Leandro;BENEGAS;Argentina;;;
Fausto;VERA;Argentina;;;
Leandro;PAREDES;Argentina;;;
Mauro;SANTOS;Argentina;;;
Tom·s;SANDOVAL;Argentina;;;
Fernando;EVANGELISTA;Argentina;;;
MatÌas;IB¡?EZ;Argentina;;;
Maximiliano;ROMERO;Argentina;;;
Cristian;LEMA;Argentina;;;
Marcos;S¡NCHEZ;Argentina;;;
Nicol·s;CORDERO;Argentina;;;
AgustÌn;BOUZAT;Argentina;;;
Alexis;MALDONADO;Argentina;;;
Walter;BENÕTEZ;Argentina;;;
Fabi·n;CUBERO;Argentina;;;
Paulo;DYBALA;Argentina;;;
Kevin;SIBILLE;Argentina;;;
Facundo;MURA;Argentina;;;
Ricardo;CENTURI”N;Argentina;;;
Mauro;FORMICA;Argentina;;;
Luca;ORELLANO;Argentina;;;
MartÌn;CORT…S;Argentina;;;
Ignacio;CHICCO;Argentina;;;
Nicol·s;CAPALDO;Argentina;;;
Nicol·s;GAIT¡N;Argentina;;;
Nicol·s;FREIRE;Argentina;;;
Fabi·n;HENRÕQUEZ;Argentina;;;
Javier;MENDOZA;Argentina;;;
Jonathan;BOTTINELLI;Argentina;;;
Franco;SBUTTONI;Argentina;;;
Willy;CABALLERO;Argentina;;;
Stefano;CALLEGARI;Argentina;;;
Giovani;CELSO;Argentina;;;
Cristian;ESPINOZA;Argentina;;;
Juan;PASSAGLIA;Argentina;;;
Milton;¡LVAREZ;Argentina;;;
Fabricio;COLOCCINI;Argentina;;;
Alexis;SOTO;Argentina;;;
Gabriel;PATR”N;Argentina;;;
Guido;RODRÕGUEZ;Argentina;;;
Gustavo;TOLEDO;Argentina;;;
Nicol·s;COLAZO;Argentina;;;
Mauro;BARRAZA;Argentina;;;
Paulo;GAZZANIGA;Argentina;;;
Maximiliano;LOVERA;Argentina;;;
Alexander;SZYMANOWSKI;Argentina;;;
RubÈn;BOTTA;Argentina;;;
Gonzalo;PIOVI;Argentina;;;
Gabriel;CARRASCO;Argentina;;;
Carlos;T…VEZ;Argentina;;;
AgustÌn;OBANDO;Argentina;;;
Augusto;FERN¡NDEZ;Argentina;;;
HÈctor;CANTEROS;Argentina;;;
Bautista;MERLINI;Argentina;;;
MatÌas;BORGOGNO;Argentina;;;
Guido;HERRERA;Argentina;;;
Leandro;DES¡BATO;Argentina;;;
AgustÌn;MARCHESÕN;Argentina;;;
Nazareno;SOLÕS;Argentina;;;
Leonel;GALEANO;Argentina;;;
Maximiliano;CERATO;Argentina;;;
Juan;MI?O;Argentina;;;
Milton;VALENZUELA;Argentina;;;
Joaquin;BLAZQUEZ;Argentina;;;
Mateo;KLIMOWICZ;Argentina;;;
Kevin;GUTI…RREZ;Argentina;;;
Federico;COSTA;Argentina;;;
Nicol·s;SILVA;Argentina;;;
Alan;RUIZ;Argentina;;;
Guillermo;FERN¡NDEZ;Argentina;;;
Emiliano;MARTÕNEZ;Argentina;;;
Tom·s;CUELLO;Argentina;;;
JoaquÌn;CORREA;Argentina;;;
Nicol·s;OROZ;Argentina;;;
Emmanuel;CULIO;Argentina;;;
Juan;LUCERO;Argentina;;;
JoaquÌn;HASS;Argentina;;;
Fernando;M¡RQUEZ;Argentina;;;
Jonathan;ZACARÕA;Argentina;;;
Elias;G”MEZ;Argentina;;;
Santiago;ROSALES;Argentina;;;
DarÌo;BENEDETTO;Argentina;;;
Nahuel;MOLINA;Argentina;;;
Erik;GODOY;Argentina;;;
Maximiliano;CAIRE;Argentina;;;
Santiago;ASCACÕBAR;Argentina;;;
JoaquÌn;LASO;Argentina;;;
Rodrigo;NOYA;Argentina;;;
Miguel;BRIZUELA;Argentina;;;
MatÌas;ALUSTIZA;Argentina;;;
Fernando;GAGO;Argentina;;;
Lucas;GAMBA;Argentina;;;
Juan;VER”N;Argentina;;;
Sergio;ROMERO;Argentina;;;
Ezequiel;LAVEZZI;Argentina;;;
Juan;RODRÕGUEZ;Argentina;;;
Guillermo;ORTÕZ;Argentina;;;
Juan;CUEVAS;Argentina;;;
Franco;ARMANI;Argentina;;;
Marco;TORSIGLIERI;Argentina;;;
Adonis;FRÕAS;Argentina;;;
Federico;L…RTORA;Argentina;;;
Lucas;MELANO;Argentina;;;
Federico;MANCINELLI;Argentina;;;
HÈctor;FERTOLI;Argentina;;;
Enzo;YB¡?EZ;Argentina;;;
Nicol·s;LEGUIZAM”N;Argentina;;;
Federico;FAZIO;Argentina;;;
Mateo;KOMAR;Argentina;;;
Mauro;ICARDI;Argentina;;;
¡ngel;CORREA;Argentina;;;
Lisandro;MARTÕNEZ;Argentina;;;
Cristian;MEN…NDEZ;Argentina;;;
Paolo;GOLTZ;Argentina;;;
